"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Новости","2","0","Управление новостями","0"
"0","","0","Наша миссия","1","0","Тематические цитаты","0"
"0","","0","Авторизация","4","0","Вход в приложение","0"
"0","","0","Новости","2","0","Просмотр новостей","0"
"0","","0","Навигация","1","0","Боковое меню","0"
"0","","0","Авторизация","1","0","Выход из аккаунта","0"
